feature,n,sorting policy,rank,prob
lexdiv,10,chron_pinned_rh,40,0.018
lexdiv,10,chron_pinned_rh,41,0.084
lexdiv,10,chron_pinned_rh,42,0.302
lexdiv,10,chron_pinned_rh,43,0.368
lexdiv,10,chron_pinned_rh,44,0.162
lexdiv,10,chron_pinned_rh,45,0.054
lexdiv,10,chron_pinned_rh,46,0.012
lexdiv,10,chron_pinned_rl,47,0.022
lexdiv,10,chron_pinned_rl,48,0.062
lexdiv,10,chron_pinned_rl,49,0.109
lexdiv,10,chron_pinned_rl,50,0.58
lexdiv,10,chron_pinned_rl,51,0.121
lexdiv,10,chron_pinned_rl,52,0.093
lexdiv,10,chron_pinned_rl,53,0.009
lexdiv,10,chron_pinned_rl,54,0.002
lexdiv,10,chron_pinned_rl,55,0.001
lexdiv,10,chron_pinned_rl,56,0.001
lexdiv,10,chron_pinned_rt,57,0.77
lexdiv,10,chron_pinned_rt,58,0.225
lexdiv,10,chron_pinned_rt,59,0.005
lexdiv,10,chron_rh,61,0.003
lexdiv,10,chron_rh,62,0.14
lexdiv,10,chron_rh,63,0.857
lexdiv,10,chron_rl,64,1.0
lexdiv,10,chron_rt,65,1.0
lexdiv,10,least-neg-abs_pinned_rh,30,0.281
lexdiv,10,least-neg-abs_pinned_rh,31,0.324
lexdiv,10,least-neg-abs_pinned_rh,32,0.395
lexdiv,10,least-neg-abs_pinned_rl,31,0.001
lexdiv,10,least-neg-abs_pinned_rl,32,0.002
lexdiv,10,least-neg-abs_pinned_rl,33,0.524
lexdiv,10,least-neg-abs_pinned_rl,34,0.358
lexdiv,10,least-neg-abs_pinned_rl,35,0.097
lexdiv,10,least-neg-abs_pinned_rl,36,0.018
lexdiv,10,least-neg-abs_pinned_rt,59,0.012
lexdiv,10,least-neg-abs_pinned_rt,60,0.057
lexdiv,10,least-neg-abs_pinned_rt,61,0.861
lexdiv,10,least-neg-abs_pinned_rt,62,0.06
lexdiv,10,least-neg-abs_pinned_rt,63,0.01
lexdiv,10,least-neg-abs_rh,41,0.002
lexdiv,10,least-neg-abs_rh,42,0.014
lexdiv,10,least-neg-abs_rh,43,0.065
lexdiv,10,least-neg-abs_rh,44,0.263
lexdiv,10,least-neg-abs_rh,45,0.513
lexdiv,10,least-neg-abs_rh,46,0.139
lexdiv,10,least-neg-abs_rh,47,0.003
lexdiv,10,least-neg-abs_rh,48,0.001
lexdiv,10,least-neg-abs_rl,48,0.004
lexdiv,10,least-neg-abs_rl,49,0.006
lexdiv,10,least-neg-abs_rl,50,0.027
lexdiv,10,least-neg-abs_rl,51,0.235
lexdiv,10,least-neg-abs_rl,52,0.44
lexdiv,10,least-neg-abs_rl,53,0.143
lexdiv,10,least-neg-abs_rl,54,0.073
lexdiv,10,least-neg-abs_rl,55,0.04
lexdiv,10,least-neg-abs_rl,56,0.032
lexdiv,10,least-neg-abs_rt,66,1.0
lexdiv,10,neg-abs_pinned_rh,19,0.09
lexdiv,10,neg-abs_pinned_rh,20,0.229
lexdiv,10,neg-abs_pinned_rh,21,0.142
lexdiv,10,neg-abs_pinned_rh,22,0.4
lexdiv,10,neg-abs_pinned_rh,23,0.134
lexdiv,10,neg-abs_pinned_rh,24,0.005
lexdiv,10,neg-abs_pinned_rl,24,0.007
lexdiv,10,neg-abs_pinned_rl,25,0.068
lexdiv,10,neg-abs_pinned_rl,26,0.199
lexdiv,10,neg-abs_pinned_rl,27,0.481
lexdiv,10,neg-abs_pinned_rl,28,0.218
lexdiv,10,neg-abs_pinned_rl,29,0.027
lexdiv,10,neg-abs_pinned_rt,51,0.016
lexdiv,10,neg-abs_pinned_rt,52,0.025
lexdiv,10,neg-abs_pinned_rt,53,0.1
lexdiv,10,neg-abs_pinned_rt,54,0.203
lexdiv,10,neg-abs_pinned_rt,55,0.205
lexdiv,10,neg-abs_pinned_rt,56,0.451
lexdiv,10,neg-abs_rh,30,0.368
lexdiv,10,neg-abs_rh,31,0.377
lexdiv,10,neg-abs_rh,32,0.253
lexdiv,10,neg-abs_rh,33,0.002
lexdiv,10,neg-abs_rl,35,0.012
lexdiv,10,neg-abs_rl,36,0.089
lexdiv,10,neg-abs_rl,37,0.418
lexdiv,10,neg-abs_rl,38,0.423
lexdiv,10,neg-abs_rl,39,0.051
lexdiv,10,neg-abs_rl,40,0.007
lexdiv,10,neg-abs_rt,57,0.23
lexdiv,10,neg-abs_rt,58,0.747
lexdiv,10,neg-abs_rt,59,0.022
lexdiv,10,neg-abs_rt,60,0.001
lexdiv,10,pin-pred-lr_pinned_rh,9,0.307
lexdiv,10,pin-pred-lr_pinned_rh,10,0.257
lexdiv,10,pin-pred-lr_pinned_rh,11,0.239
lexdiv,10,pin-pred-lr_pinned_rh,12,0.178
lexdiv,10,pin-pred-lr_pinned_rh,13,0.016
lexdiv,10,pin-pred-lr_pinned_rh,14,0.002
lexdiv,10,pin-pred-lr_pinned_rh,15,0.001
lexdiv,10,pin-pred-lr_pinned_rl,9,0.252
lexdiv,10,pin-pred-lr_pinned_rl,10,0.298
lexdiv,10,pin-pred-lr_pinned_rl,11,0.178
lexdiv,10,pin-pred-lr_pinned_rl,12,0.256
lexdiv,10,pin-pred-lr_pinned_rl,13,0.009
lexdiv,10,pin-pred-lr_pinned_rl,14,0.007
lexdiv,10,pin-pred-lr_pinned_rt,36,0.004
lexdiv,10,pin-pred-lr_pinned_rt,37,0.462
lexdiv,10,pin-pred-lr_pinned_rt,38,0.474
lexdiv,10,pin-pred-lr_pinned_rt,39,0.056
lexdiv,10,pin-pred-lr_pinned_rt,40,0.004
lexdiv,10,pin-pred-lr_rh,9,0.385
lexdiv,10,pin-pred-lr_rh,10,0.033
lexdiv,10,pin-pred-lr_rh,11,0.511
lexdiv,10,pin-pred-lr_rh,12,0.033
lexdiv,10,pin-pred-lr_rh,13,0.036
lexdiv,10,pin-pred-lr_rh,14,0.002
lexdiv,10,pin-pred-lr_rl,9,0.385
lexdiv,10,pin-pred-lr_rl,10,0.033
lexdiv,10,pin-pred-lr_rl,11,0.511
lexdiv,10,pin-pred-lr_rl,12,0.033
lexdiv,10,pin-pred-lr_rl,13,0.036
lexdiv,10,pin-pred-lr_rl,14,0.002
lexdiv,10,pin-pred-lr_rt,33,0.015
lexdiv,10,pin-pred-lr_rt,34,0.129
lexdiv,10,pin-pred-lr_rt,35,0.713
lexdiv,10,pin-pred-lr_rt,36,0.137
lexdiv,10,pin-pred-lr_rt,37,0.006
lexdiv,10,pin-pred-xgb_pinned_rh,7,0.034
lexdiv,10,pin-pred-xgb_pinned_rh,8,0.966
lexdiv,10,pin-pred-xgb_pinned_rl,5,0.032
lexdiv,10,pin-pred-xgb_pinned_rl,6,0.894
lexdiv,10,pin-pred-xgb_pinned_rl,7,0.074
lexdiv,10,pin-pred-xgb_pinned_rt,34,0.011
lexdiv,10,pin-pred-xgb_pinned_rt,35,0.138
lexdiv,10,pin-pred-xgb_pinned_rt,36,0.752
lexdiv,10,pin-pred-xgb_pinned_rt,37,0.093
lexdiv,10,pin-pred-xgb_pinned_rt,38,0.006
lexdiv,10,pin-pred-xgb_rh,6,0.074
lexdiv,10,pin-pred-xgb_rh,7,0.892
lexdiv,10,pin-pred-xgb_rh,8,0.034
lexdiv,10,pin-pred-xgb_rl,5,0.968
lexdiv,10,pin-pred-xgb_rl,6,0.032
