feature,n,sorting policy,FORUM,nDCG,AUC
lexdiv,10,chron_pinned_rh,0.09350351,0.46522346,0.54675174
lexdiv,10,chron_pinned_rl,0.06455199,0.4511568,0.532276
lexdiv,10,chron_pinned_rt,0.006758522,0.42259225,0.5033793
lexdiv,10,chron_rh,-0.036645148,0.3996502,0.4816774
lexdiv,10,chron_rl,-0.08806665,0.37503675,0.45596668
lexdiv,10,chron_rt,-0.1098291,0.36536074,0.44508544
lexdiv,10,least-neg-abs_pinned_rh,0.15109733,0.49464417,0.5755487
lexdiv,10,least-neg-abs_pinned_rl,0.13255754,0.48558176,0.56627876
lexdiv,10,least-neg-abs_pinned_rt,-0.022784429,0.40741402,0.4886078
lexdiv,10,least-neg-abs_rh,0.086963646,0.46123663,0.5434818
lexdiv,10,least-neg-abs_rl,0.05763289,0.44686103,0.52881646
lexdiv,10,least-neg-abs_rt,-0.12950295,0.35613406,0.43524852
lexdiv,10,neg-abs_pinned_rh,0.19743526,0.51789343,0.59871763
lexdiv,10,neg-abs_pinned_rl,0.17292164,0.5052254,0.5864608
lexdiv,10,neg-abs_pinned_rt,0.04932783,0.4432015,0.5246639
lexdiv,10,neg-abs_rh,0.15206397,0.49383518,0.576032
lexdiv,10,neg-abs_rl,0.11381513,0.4742262,0.55690753
lexdiv,10,neg-abs_rt,0.0019226758,0.4197215,0.50096136
lexdiv,10,pin-pred-lr_pinned_rh,0.294867,0.56938386,0.64743346
lexdiv,10,pin-pred-lr_pinned_rl,0.29485318,0.56937957,0.6474266
lexdiv,10,pin-pred-lr_pinned_rt,0.113676056,0.4750355,0.55683804
lexdiv,10,pin-pred-lr_rh,0.2946108,0.56925327,0.64730537
lexdiv,10,pin-pred-lr_rl,0.2946108,0.56925327,0.64730537
lexdiv,10,pin-pred-lr_rt,0.12585686,0.4811044,0.56292844
lexdiv,10,pin-pred-xgb_pinned_rh,0.3064912,0.5754962,0.65324557
lexdiv,10,pin-pred-xgb_pinned_rl,0.30990773,0.57733005,0.65495384
