n,sorting policy,lexdiv,sentcomp,sim,smog,pareto_efficient,dominated
10,chron_pinned_rh,0.09350351,-0.0690701,0.046641804,0.032286946,True,False
10,chron_pinned_rl,0.06455199,-0.069087215,0.0043693245,0.01182829,False,True
10,chron_pinned_rt,0.006758522,-0.0672297,-0.11354838,-0.023622576,False,True
10,chron_rh,-0.036645148,-0.053819884,-0.0016663964,-0.04390004,True,False
10,chron_rl,-0.08806665,-0.05255899,-0.07578902,-0.0807926,True,False
10,chron_rt,-0.1098291,-0.0579369,-0.1491511,-0.096489884,False,True
10,least-neg-abs_pinned_rh,0.15109733,-0.0796683,0.06617383,0.0643526,True,False
10,least-neg-abs_pinned_rl,0.13255754,-0.08507137,0.015501613,0.049950507,False,True
10,least-neg-abs_pinned_rt,-0.022784429,-0.12680988,-0.2206568,-0.04301814,False,True
10,least-neg-abs_rh,0.086963646,-0.06476738,0.043545254,0.031747628,True,False
10,least-neg-abs_rl,0.05763289,-0.06998538,-0.026341636,0.008876099,False,True
10,least-neg-abs_rt,-0.12950295,-0.02918623,-0.13740446,-0.10710126,True,False
10,neg-abs_pinned_rh,0.19743526,-0.14005886,0.05540008,0.10007654,False,True
10,neg-abs_pinned_rl,0.17292164,-0.13995706,0.005657475,0.08214095,False,True
10,neg-abs_pinned_rt,0.04932783,-0.105380245,-0.15503202,0.0038241865,False,True
10,neg-abs_rh,0.15206397,-0.165501,0.029043796,0.075629406,False,True
10,neg-abs_rl,0.11381513,-0.16517842,-0.039832838,0.049320374,False,True
10,neg-abs_rt,0.0019226758,-0.13063967,-0.20435143,-0.030579118,False,True
10,pin-pred-lr_pinned_rh,0.294867,-0.097384915,0.10346813,0.15266107,True,False
10,pin-pred-lr_pinned_rl,0.29485318,-0.09731224,0.10344958,0.15263423,True,False
10,pin-pred-lr_pinned_rt,0.113676056,-0.0777418,-0.10742894,0.042000983,False,True
10,pin-pred-lr_rh,0.2946108,-0.09648267,0.103552364,0.15357308,True,False
10,pin-pred-lr_rl,0.2946108,-0.09648267,0.103552364,0.15357308,True,False
10,pin-pred-lr_rt,0.12585686,-0.07638123,-0.09351153,0.048378322,False,True
10,pin-pred-xgb_pinned_rh,0.3064912,-0.10359619,0.10657593,0.16546686,False,True
10,pin-pred-xgb_pinned_rl,0.30990773,-0.10246049,0.10449369,0.16691786,False,True
10,pin-pred-xgb_pinned_rt,0.12124991,-0.08358611,-0.10105614,0.049376152,False,True
10,pin-pred-xgb_rh,0.30822954,-0.099104404,0.10871192,0.16736521,True,False
10,pin-pred-xgb_rl,0.31165245,-0.097931735,0.106645875,0.16883472,True,False
